,topic,mean,min,max,std
0,topic_topic1,19.752083333333335,0,70,13.2152704919153
1,topic_topic10,13.572445561139029,0,76,12.017081506078654
2,topic_topic11,14.091666666666667,1,66,10.088279550778172
3,topic_topic12,15.394444444444444,0,82,14.048845072163925
4,topic_topic13,25.37821851078636,2,89,13.219055591343743
5,topic_topic14,15.751461988304094,0,80,11.943763497204001
6,topic_topic15,18.002083333333335,1,65,12.703212316824386
7,topic_topic16,13.8798495645289,0,66,10.466188158660934
8,topic_topic17,10.929567642956764,0,71,9.431342739165059
9,topic_topic18,12.202275894101254,0,66,10.547660954615852
10,topic_topic19,13.688442211055277,0,100,11.693122266383815
11,topic_topic2,15.5875,0,84,10.869946732888048
12,topic_topic20,19.741666666666667,1,65,11.034768232785288
13,topic_topic21,19.225,1,89,14.101607232513068
14,topic_topic22,34.151166840822015,5,98,13.495700613497538
15,topic_topic23,14.092731829573935,0,57,10.490347652543361
16,topic_topic24,14.427877947295423,1,74,10.921756833267331
17,topic_topic25,14.179038004750593,0,74,10.877357731618591
18,topic_topic26,40.32583682008368,5,100,13.758788970293804
19,topic_topic27,12.39526242452392,1,54,10.480370051288913
20,topic_topic28,12.65138190954774,0,85,10.167318043865324
21,topic_topic29,21.8125,1,53,12.813511022282803
22,topic_topic3,16.190277777777776,0,80,14.489551095814777
23,topic_topic30,14.846296296296297,0,73,13.159001455307083
24,topic_topic4,10.556889352818372,0,62,10.683160636274268
25,topic_topic5,15.017265385686438,1,76,11.123677093215132
26,topic_topic6,13.813453536754508,0,80,12.54131760396084
27,topic_topic7,14.288994457640538,0,100,11.533018098162904
28,topic_topic8,11.672071129707113,0,77,10.814861472423447
29,topic_topic9,13.175568973525314,0,75,11.640924972640553
