Unnamed: 0,topic,app,received_count,message_sent,dropping,percentage
0,topic_topic1,app_app1,300,300,0,0.0
1,topic_topic1,app_app3,300,300,0,0.0
2,topic_topic1,app_app5,300,300,0,0.0
3,topic_topic1,app_app7,300,300,0,0.0
4,topic_topic10,app_app11,2990,3000,10,0.33333333333333337
5,topic_topic10,app_app9,2990,3000,10,0.33333333333333337
6,topic_topic11,app_app12,600,600,0,0.0
7,topic_topic11,app_app15,600,600,0,0.0
8,topic_topic11,app_app8,600,600,0,0.0
9,topic_topic12,app_app10,901,900,-1,-0.1111111111111111
10,topic_topic12,app_app2,901,900,-1,-0.1111111111111111
11,topic_topic12,app_app9,901,900,-1,-0.1111111111111111
12,topic_topic13,app_app10,1199,1200,1,0.08333333333333334
13,topic_topic13,app_app11,1199,1200,1,0.08333333333333334
14,topic_topic13,app_app12,1199,1200,1,0.08333333333333334
15,topic_topic14,app_app1,1498,1500,2,0.13333333333333333
16,topic_topic14,app_app13,1498,1500,2,0.13333333333333333
17,topic_topic14,app_app16,1498,1500,2,0.13333333333333333
18,topic_topic14,app_app5,1498,1500,2,0.13333333333333333
19,topic_topic15,app_app15,300,300,0,0.0
20,topic_topic15,app_app6,300,300,0,0.0
21,topic_topic16,app_app16,2108,2100,-8,-0.38095238095238093
22,topic_topic16,app_app3,2108,2100,-8,-0.38095238095238093
23,topic_topic16,app_app4,2108,2100,-8,-0.38095238095238093
24,topic_topic17,app_app10,2394,2400,6,0.25
25,topic_topic17,app_app16,2394,2400,6,0.25
26,topic_topic17,app_app7,2394,2400,6,0.25
27,topic_topic18,app_app10,2696,2700,4,0.14814814814814814
28,topic_topic18,app_app12,2696,2700,4,0.14814814814814814
29,topic_topic19,app_app13,2991,3000,9,0.3
30,topic_topic19,app_app2,2991,3000,9,0.3
31,topic_topic19,app_app5,2991,3000,9,0.3
32,topic_topic2,app_app1,600,600,0,0.0
33,topic_topic2,app_app13,600,600,0,0.0
34,topic_topic2,app_app15,600,600,0,0.0
35,topic_topic2,app_app7,600,600,0,0.0
36,topic_topic2,app_app9,600,600,0,0.0
37,topic_topic20,app_app14,300,300,0,0.0
38,topic_topic20,app_app6,300,300,0,0.0
39,topic_topic21,app_app1,900,900,0,0.0
40,topic_topic21,app_app4,900,900,0,0.0
41,topic_topic21,app_app8,900,900,0,0.0
42,topic_topic22,app_app2,1199,1200,1,0.08333333333333334
43,topic_topic22,app_app5,1199,1200,1,0.08333333333333334
44,topic_topic22,app_app9,1199,1200,1,0.08333333333333334
45,topic_topic23,app_app13,1498,1500,2,0.13333333333333333
46,topic_topic23,app_app3,1498,1500,2,0.13333333333333333
47,topic_topic24,app_app14,1804,1800,-4,-0.2222222222222222
48,topic_topic24,app_app15,1804,1800,-4,-0.2222222222222222
49,topic_topic25,app_app16,2108,2100,-8,-0.38095238095238093
50,topic_topic25,app_app7,2108,2100,-8,-0.38095238095238093
51,topic_topic26,app_app1,2394,2400,6,0.25
52,topic_topic26,app_app11,2394,2400,6,0.25
53,topic_topic26,app_app6,2394,2400,6,0.25
54,topic_topic27,app_app3,2696,2700,4,0.14814814814814814
55,topic_topic27,app_app4,2696,2700,4,0.14814814814814814
56,topic_topic28,app_app14,2991,3000,9,0.3
57,topic_topic28,app_app8,2991,3000,9,0.3
58,topic_topic29,app_app11,300,300,0,0.0
59,topic_topic29,app_app9,300,300,0,0.0
60,topic_topic3,app_app2,901,900,-1,-0.1111111111111111
61,topic_topic3,app_app3,901,900,-1,-0.1111111111111111
62,topic_topic30,app_app15,901,900,-1,-0.1111111111111111
63,topic_topic30,app_app16,901,900,-1,-0.1111111111111111
64,topic_topic30,app_app7,901,900,-1,-0.1111111111111111
65,topic_topic4,app_app13,1199,1200,1,0.08333333333333334
66,topic_topic4,app_app3,1199,1200,1,0.08333333333333334
67,topic_topic5,app_app14,1498,1500,2,0.13333333333333333
68,topic_topic5,app_app4,1498,1500,2,0.13333333333333333
69,topic_topic5,app_app6,1498,1500,2,0.13333333333333333
70,topic_topic6,app_app11,1804,1800,-4,-0.2222222222222222
71,topic_topic6,app_app4,1804,1800,-4,-0.2222222222222222
72,topic_topic7,app_app12,2108,2100,-8,-0.38095238095238093
73,topic_topic7,app_app5,2108,2100,-8,-0.38095238095238093
74,topic_topic7,app_app8,2108,2100,-8,-0.38095238095238093
75,topic_topic8,app_app14,2394,2400,6,0.25
76,topic_topic8,app_app6,2394,2400,6,0.25
77,topic_topic9,app_app2,2696,2700,4,0.14814814814814814
78,topic_topic9,app_app7,2696,2700,4,0.14814814814814814
79,topic_topic9,app_app8,2696,2700,4,0.14814814814814814
