"device","topic","nbMessages"
"topic5_source","topic_topic5","1195"
"topic16_source","topic_topic16","84"
"topic21_source","topic_topic21","12"
"topic1_source","topic_topic1","1196"
"topic29_source","topic_topic29","1196"
"topic27_source","topic_topic27","1196"
"topic2_source","topic_topic2","1195"
"topic22_source","topic_topic22","12"
"topic25_source","topic_topic25","360"
"topic23_source","topic_topic23","24"
"topic15_source","topic_topic15","360"
"topic11_source","topic_topic11","24"
"topic13_source","topic_topic13","48"
"topic7_source","topic_topic7","30"
"topic24_source","topic_topic24","12"
"topic20_source","topic_topic20","48"
"topic30_source","topic_topic30","599"
"topic4_source","topic_topic4","599"
"topic6_source","topic_topic6","60"
"topic18_source","topic_topic18","60"
"topic26_source","topic_topic26","120"
"topic28_source","topic_topic28","120"
"topic12_source","topic_topic12","120"
"topic10_source","topic_topic10","120"
"topic17_source","topic_topic17","120"
"topic9_source","topic_topic9","120"
"topic19_source","topic_topic19","120"
"topic3_source","topic_topic3","120"
"topic8_source","topic_topic8","120"
"topic14_source","topic_topic14","120"
